customer_id,last_invoice_amount_usd,lifetime_revenue_usd,add_on_revenue_usd,next_quarter_revenue_usd,acv_local,acv_usd,subscription_value_local,daily_active_users,feature_adoption_pct,sessions_per_user_day,avg_session_minutes,integrations_count,custom_reports_count,automations_active,api_calls_monthly,mobile_users_pct,support_tickets,csat_score,nps_score,renewal_probability,price_sensitivity,renewal_risk_flag,churn
11177,29,539,6,26,11070,132,14760,13,38.1,2.2,8.0,2,2,2,3707,56.6,11,3.0,18.0,0.29,Medium,Low,0
14771,10354,91518,2387,13188,36035,39278,41611,25,45.5,3.5,17.0,3,5,10,38883,27.2,1,3.4,31.0,0.67,High,Low,0
11091,16687,360919,2917,18867,68832,68832,74818,150,66.5,3.2,27.0,6,16,14,51050,24.3,3,4.3,72.0,0.74,High,Low,0
14818,1940,31493,399,189,9097,9097,11027,38,5.0,1.5,4.0,1,4,2,5138,34.7,10,3.9,-24.0,0.58,Medium,High,1
14376,3189,58603,3770,4295,70217,14043,78631,149,70.7,0.6,20.0,10,21,20,47489,59.6,2,4.0,57.0,0.9,Medium,Low,0
10280,81,869,14,83,24818,297,37209,82,69.8,4.3,9.0,2,6,14,13497,55.7,10,4.1,3.0,0.63,High,Low,0
10997,2338,3758,1625,2355,35752,9653,39031,72,56.8,3.5,16.0,6,6,9,26094,43.0,2,,,0.99,Low,Low,0
10585,70,1003,218,71,23894,286,31440,54,37.8,5.0,21.0,7,7,9,7377,31.6,2,4.1,13.0,0.56,Low,Low,0
11486,1689,27992,2197,2096,52277,7318,53839,139,53.4,4.3,26.0,13,12,15,68400,54.6,3,4.1,40.0,0.99,Medium,Low,0
13927,22,209,64,24,14198,95,15846,28,21.8,0.7,16.0,1,3,2,3084,16.7,5,2.8,-10.0,0.55,High,Low,0
12772,6616,15388,237,9713,30201,30201,36831,41,95.5,4.0,18.0,5,9,16,47922,39.4,4,,39.0,0.69,Low,Low,0
13652,3911,60259,2011,187,66759,14686,83658,155,76.4,3.3,13.0,7,20,17,42145,32.8,4,3.7,28.0,0.99,High,Low,1
14417,2385,11116,357,38,7666,8355,9996,19,41.2,2.2,2.0,3,2,3,3777,22.8,10,2.7,,0.5,Low,Low,1
14011,23045,354076,87,25137,81276,88590,84751,138,88.6,4.3,23.0,12,15,27,54517,43.7,7,4.1,100.0,0.94,Medium,Low,0
13945,13681,291385,638,15837,86339,56120,92441,136,100.0,4.6,22.0,12,18,32,64273,42.2,4,,32.0,0.99,Medium,Low,0
11613,1735,1800,2175,2256,28818,7204,34513,95,79.5,2.2,18.0,8,7,11,41703,20.7,3,,18.0,0.67,High,Low,0
13195,0,0,84,0,18834,1,21500,113,49.4,3.8,25.0,1,5,13,36657,41.3,4,4.8,21.0,0.8,Low,Low,0
10473,4362,148416,1077,6065,96961,21331,96961,135,75.1,4.9,30.0,6,15,19,45362,2.8,3,5.0,45.0,0.92,Low,Low,0
14732,8616,69994,514,9638,34588,37700,49061,92,62.5,3.7,18.0,1,6,7,10434,64.5,5,4.9,38.0,0.66,High,Low,0
11581,4622,39481,644,3653,24650,18241,36357,73,66.1,0.5,20.0,0,12,11,14278,53.4,4,3.4,-6.0,0.63,High,Low,0
10970,9575,136946,5927,12185,69522,45189,76482,164,97.0,4.6,38.0,6,16,21,61800,25.9,6,4.4,71.0,0.99,Low,Low,0
12225,35,214,101,37,17719,136,25206,49,30.6,0.9,14.0,3,6,8,18597,75.3,6,3.9,22.0,0.73,Medium,Medium,0
13882,0,2,211,0,34229,1,42521,28,19.7,2.7,15.0,2,3,6,14553,0.0,7,4.6,,0.7,Medium,Low,0
14392,3,50,823,4,19773,14,24055,90,65.4,3.4,24.0,2,14,18,49387,32.3,5,4.6,11.0,0.7,Medium,Low,0
10752,4343,51444,106,2608,15006,16356,16294,35,38.6,0.5,11.0,1,4,3,5832,5.9,14,,30.0,0.4,High,Low,0
14412,19321,261200,472,20222,64416,70213,70018,196,51.4,4.6,22.0,11,16,16,58766,26.4,8,4.5,87.0,0.97,Low,Low,0
10735,17084,261417,889,15583,78896,58383,81421,161,74.5,4.4,24.0,4,14,21,51998,31.3,4,4.1,80.0,0.83,Medium,Low,0
10764,471,3533,1961,579,70405,1971,80006,161,68.7,4.3,21.0,5,11,19,37929,11.3,4,5.0,26.0,0.99,Low,Low,0
13936,13032,350750,7389,18202,102103,62282,105045,158,55.0,4.2,27.0,8,13,20,47828,34.2,2,4.4,48.0,0.98,Low,Low,0
14948,1,13,711,1,22940,5,27474,60,36.7,5.2,17.0,5,7,10,39323,30.8,4,3.8,4.0,0.89,Medium,Low,0
11127,0,4,50,0,18710,4,20228,29,20.8,0.5,10.0,6,2,1,4708,41.8,9,3.0,2.0,0.51,High,High,0
13581,2527,1892,160,2456,32324,8727,38852,89,59.9,1.9,12.0,10,13,15,41509,25.1,6,2.8,20.0,0.88,Medium,Low,0
13981,15836,228254,3070,19120,56131,61182,61819,143,87.9,4.0,27.0,14,20,15,17511,48.2,2,5.0,45.0,0.99,High,Low,0
14587,3484,4022,214,3399,13609,14833,17033,26,24.7,1.3,2.0,1,1,5,3772,33.1,13,2.7,10.0,0.41,Low,High,0
13287,7777,10562,604,9121,29148,31771,35203,111,61.8,3.0,15.0,4,6,14,31520,55.1,5,3.9,40.0,0.52,Low,Low,0
10945,4691,16578,172,2649,15311,15311,17908,9,13.7,4.1,4.0,2,1,5,7963,38.9,11,3.5,-47.0,0.4,High,Low,0
14199,20141,403204,3661,25325,62555,79444,64490,131,65.7,3.7,16.0,11,17,17,61999,11.5,3,4.4,54.0,0.99,Medium,Low,0
12407,6202,5988,719,586,40103,24462,40144,77,36.3,3.2,18.0,5,14,18,40252,50.1,2,3.9,78.0,0.83,Medium,Medium,1
12719,131,2007,2033,128,74414,498,85436,145,65.0,3.4,25.0,13,16,13,50502,51.3,9,4.1,79.0,0.93,Low,Low,0
14350,8455,113665,90,7537,34261,34261,46237,19,56.5,2.4,14.0,6,7,7,15398,54.5,12,3.5,35.0,0.65,High,Low,0
10347,99,1086,30,89,28133,337,40833,31,43.8,2.9,19.0,3,10,9,10610,44.6,5,3.8,40.0,0.73,Low,Low,0
11421,6558,6165,574,9402,26537,28925,30857,118,42.1,2.8,24.0,8,11,8,23564,33.5,5,4.0,58.0,0.82,Medium,Low,0
