Customer_ID,Fiscal_Quarter,Transaction_Amount_Local,FX_Rate_To_USD,Discount_Pct
14893,Q1-2022,902,1.0,25.4
11754,Q4-2024,2805,0.018,23.5
12471,Q2-2024,469,0.058,11.7
14216,Q2-2024,22138,0.0067,7.7
11376,Q3-2022,16800,0.2,9.4
14086,Q3-2022,3094,1.0,21.6
10352,Q1-2027,20869,0.0067,2.2
11996,Q1-2023,1601,0.74,12.5
14322,Q1-2025,8932,1.27,5.7
12811,Q3-2024,1134,0.74,9.2
11033,Q2-2023,2608,1.0,7.2
10451,Q4-2024,2577,1.0,2.9
10150,Q4-2025,7988,1.27,
12851,Q3-2024,155,1.09,
12010,Q2-2023,542,1.09,9.6
12458,Q1-2027,3678,0.65,8.9
12643,Q2-2024,2244,1.09,11.7
11839,Q4-2022,12624,0.0091,0.0
11332,Q4-2023,4118,0.61,11.2
13669,Q3-2023,9346,0.27,17.0
14145,Q3-2024,1888,1.0,17.9
11120,Q2-2023,669,1.0,
12274,Q3-2024,18413,0.0011,14.3
13008,Q2-2024,1723,0.74,4.9
13818,Q2-2027,1141,0.65,10.7
13720,Q2-2026,2673,1.0,24.9
11779,Q1-2023,2564,1.09,25.1
14351,Q2-2023,57507,0.65,0.0
13974,Q1-2023,12026,1.0,5.7
10641,Q1-2023,3126,1.09,
13612,Q2-2025,2759,0.012,27.1
14992,Q1-2024,2406,1.09,19.7
11279,Q3-2025,1860,0.0067,22.9
11724,Q1-2023,9964,1.0,5.8
12614,Q3-2024,12086,1.09,9.3
11444,Q1-2024,70347,0.74,5.6
10930,Q1-2025,7414,1.0,5.5
11768,Q4-2023,6358,1.09,2.7
12211,Q4-2022,856,0.147,22.0
12765,Q1-2027,27140,0.054,0.0
11485,Q1-2024,7873,0.032,9.2
11630,Q3-2023,9035,0.012,12.3
14186,Q1-2023,1434,0.0091,30.4
11316,Q2-2024,5129,0.25,5.9
10155,Q3-2023,5166,1.0,11.0
10319,Q3-2023,1213,1.09,2.3
11169,Q3-2023,6095,1.09,34.2
11514,Q3-2023,3165,0.0067,
10578,Q3-2022,33982,0.098,12.5
13245,Q3-2024,807,0.22,4.7
10348,Q1-2023,63761,0.0067,6.0
12407,Q1-2025,4505,0.61,0.1
12627,Q2-2023,1112,0.22,7.3
11117,Q1-2023,3726,1.09,7.3
14143,Q1-2024,2955,0.0011,4.8
13614,Q1-2025,13064,1.0,37.9
13501,Q1-2023,137,1.0,14.2
12638,Q4-2022,25033,0.22,3.9
13767,Q1-2022,3261,0.65,9.1
13060,Q3-2023,1948,0.14,
10693,Q3-2024,13073,1.09,
10124,Q2-2025,1740,1.09,27.1
13774,Q4-2025,517,0.0067,19.8
13490,Q4-2022,988,0.012,15.3
14771,Q2-2024,1297,1.09,10.3
13799,Q1-2024,781,0.74,9.5
13177,Q3-2024,10332,0.27,32.6
11916,Q2-2022,2507,0.14,7.9
10523,Q3-2022,11954,0.096,3.6
13712,Q3-2023,877,1.0,7.6
14939,Q2-2023,4687,0.0067,8.9
14011,Q1-2025,2591,1.09,4.2
13316,Q4-2022,10231,1.09,0.0
11445,Q4-2023,596,0.2,9.3
13014,Q4-2024,10044,1.09,4.3
14813,Q2-2024,347,0.054,18.0
10780,Q2-2022,3202,1.0,27.9
12257,Q3-2025,14203,1.09,30.2
12800,Q4-2022,20158,1.27,10.4
14572,Q4-2022,2393,0.0006,21.0
12278,Q3-2025,13763,0.0006,8.2
13964,Q3-2025,5238,1.09,3.5
10553,Q1-2026,109199,1.09,8.5
12998,Q3-2026,705,1.09,6.4
14689,Q1-2025,1452,1.0,26.2
11444,Q3-2024,79484,0.74,7.1
13694,Q4-2023,8320,1.0,17.7
11206,Q2-2022,3430,0.098,2.5
13457,Q2-2024,10210,0.22,24.1
10906,Q2-2024,3158,0.14,11.2
11491,Q1-2024,11876,0.0011,2.4
12595,Q4-2025,1265,0.27,5.2
13953,Q4-2023,14455,1.09,15.2
11618,Q2-2024,24823,0.0008,10.4
14604,Q3-2022,877,1.09,18.2
10603,Q3-2022,10640,0.0001,32.2
13172,Q4-2024,5131,0.012,9.8
11762,Q1-2025,11875,0.27,6.7
13801,Q3-2022,5511,0.058,4.8
13366,Q4-2023,573,0.0091,14.1
14773,Q2-2025,4118,0.012,0.0
13414,Q4-2023,6784,1.27,10.1
11136,Q4-2024,7953,0.0003,17.2
12199,Q3-2023,11139,0.012,8.9
12149,Q4-2023,4318,0.012,
10661,Q2-2023,17842,1.09,5.5
14071,Q4-2022,340,0.2,21.3
14761,Q3-2024,914,0.14,17.5
10067,Q2-2025,6441,0.27,15.3
11781,Q2-2025,12642,1.09,6.9
11632,Q4-2025,9044,1.0,28.8
11337,Q3-2022,665,0.096,3.5
12076,Q2-2022,334,1.09,26.9
14041,Q4-2023,3649,1.0,
12743,Q2-2023,4680,0.74,6.4
12972,Q4-2022,23410,0.74,9.4
13934,Q2-2025,24943,0.61,3.2
12643,Q1-2023,3193,1.09,11.0
10821,Q1-2028,33024,0.012,15.7
13977,Q2-2023,25651,1.0,0.0
10802,Q2-2023,8642,0.27,13.4
12464,Q3-2025,14869,0.018,2.5
11602,Q1-2022,89608,1.0,6.0
11474,Q4-2023,2265,0.044,19.2
13448,Q1-2023,8630,0.012,11.7
13570,Q2-2025,15548,0.65,19.1
14895,Q4-2023,6174,1.09,5.1
14208,Q2-2025,13663,1.09,10.2
10585,Q4-2024,19542,0.012,19.3
11272,Q2-2025,3161,0.2,10.0
12502,Q3-2024,8167,0.012,23.8
11839,Q1-2024,10302,0.0091,0.0
14908,Q1-2025,37407,0.65,5.6
14615,Q1-2024,2647,1.0,20.4
13016,Q3-2022,11954,0.0003,5.1
14106,Q1-2024,25941,0.012,10.9
12079,Q4-2022,15695,1.0,15.3
12962,Q3-2023,2575,0.0011,15.3
11410,Q4-2023,6036,0.2,15.9
13169,Q4-2025,5333,0.2,9.6
14090,Q1-2026,4320,0.096,
14102,Q1-2023,5902,0.095,8.3
12992,Q4-2024,2917,0.22,
10056,Q3-2023,11673,1.27,3.5
12059,Q2-2024,2771,0.27,2.7
10973,Q2-2022,1592,1.09,1.2
