Fiscal_Quarter,Revenue_USD
Q1-2025,1100.288
Q2-2023,2337.203
Q2-2024,1905.7272000000005
Q4-2023,263.215
Q4-2024,1883.5178
Q1-2023,3.1966704
Q1-2024,6.0646278
Q2-2023,27.7165889
Q3-2023,10.62215
Q3-2024,5.8276372
Q4-2023,29.434559
Q1-2024,13.1209249
Q1-2025,38.8389352
Q2-2023,6.0647395
Q2-2025,15.5970171
Q3-2024,6.9032445
Q3-2025,46.7791856
Q4-2023,51.2563467
Q4-2025,0.0
Q1-2024,55175.35164
Q2-2024,43516.85366
Q3-2024,56368.22868
Q4-2023,37092.54291999999
Q1-2025,13965.482
Q2-2025,32314.518
Q2-2027,5962.656
Q3-2024,25035.584
Q4-2022,22123.962
Q4-2024,32220.736
Q4-2025,87096.128
Q1-2022,14008.489250000002
Q1-2026,12630.688920000002
Q2-2023,10585.88816
Q2-2025,1514.45036
Q3-2022,13299.98816
Q3-2023,15534.14154
Q3-2025,12980.35765
Q1-2023,37244.6451
Q2-2022,67071.8048
Q2-2023,23652.837
Q3-2023,0.0
Q4-2022,0.0
Q4-2023,1390.7712
Q2-2024,3.8384526
Q3-2024,4.304701799999999
Q1-2022,128.867112
Q1-2023,28.718592
Q2-2024,180.009984
Q2-2027,12.936660000000002
Q3-2023,58.01172
Q3-2027,72.60727200000001
Q4-2023,138.33553200000003
Q4-2027,0.0
Q1-2023,3626.6458200000006
Q2-2023,20780.9263
Q3-2023,1670.30728
Q4-2023,1100.23292
Q1-2023,2.9723463000000003
Q2-2023,5.983155200000001
Q3-2023,1.0046256
Q4-2023,4.5004608
Q1-2023,1847.1445200000005
Q2-2023,1586.22359
Q2-2024,341.19834
Q3-2023,1782.6121600000004
Q3-2024,3857.275650000001
Q3-2025,2520.18137
Q4-2023,6073.391710000001
Q4-2024,658.2782500000001
Q4-2025,863.4009900000001
Q1-2025,7633.0252
Q2-2025,5321.388800000001
Q3-2023,6062.8078000000005
Q4-2024,551.5255999999999
Q1-2025,14.920848
Q2-2024,30.922956000000003
Q2-2025,135.516624
Q3-2025,20.32044
Q4-2024,47.5395
Q1-2023,626.1964
Q2-2024,292.194
Q3-2023,288.234
Q3-2024,135.992
Q4-2022,65.56800000000001
Q4-2023,277.72920000000005
Q1-2022,29646.36311
Q1-2023,13145.89192
Q1-2025,35893.0448
Q2-2022,28528.89519
Q2-2024,0.0
Q2-2026,5939.751899999999
Q3-2023,32244.8301
Q3-2025,38054.65592
Q4-2022,14599.96064
Q4-2023,99238.94554
Q4-2024,0.0
Q4-2026,6224.24968
Q1-2023,10435.312
Q4-2022,305.564
Q1-2024,0.0
Q1-2027,3299.6565
Q2-2025,6785.593499999999
Q2-2027,18125.47572
Q4-2023,15992.786039999995
Q4-2024,7565.253949999999
Q4-2025,16489.99056
Q4-2027,31815.71613
Q1-2024,1417.26078
Q2-2025,3191.7958200000003
Q3-2024,377.73783
Q3-2025,942.678
Q4-2024,885.66048
Q4-2025,986.8122000000002
Q1-2023,2959.62864
Q1-2024,2442.827232
Q2-2023,1828.484832
Q2-2025,172.257024
Q3-2024,3573.586848
Q4-2023,430.57152
Q4-2024,1573.533216
Q2-2022,717.1834319999999
Q3-2022,950.569038
Q4-2022,582.859692
Q1-2024,6.2130144000000005
Q1-2025,1.4186952000000002
Q2-2023,1.6041232
Q2-2024,2.8486176
Q3-2023,2.5082856
Q4-2024,4.2379656
Q1-2022,59.15420000000001
Q1-2026,266.6521200000001
Q2-2026,0.0
Q3-2025,466.6662
Q4-2023,70.07392000000002
Q4-2025,113.61812
Q1-2024,92.142414
Q1-2025,58.73687999999999
Q2-2024,394.612128
Q2-2025,402.489864
Q3-2023,676.010232
